acadYear,description,title,additionalInformation,department,faculty,workload,gradingBasisDescription,moduleCredit,moduleCode,semesterData,preclusion,preclusionRule,prerequisite,prerequisiteRule,attributes,fulfillRequirements,prereqTree,corequisite,corequisiteRule,prerequisiteAdvisory,aliases,common_code
2023/2024,"As social service organisations in Singapore move towards evidence-based practice, there is need to conduct field research to better understand the communities that they work with, and to assess the impact of their community development programs. This course is a follow-up from CLC2201 Community Development Practicum I, that offers students the opportunity to partner with specific organisations to conduct field research on community or social issues. Students interested either in exploring a different issue, or extending their research in CLC2201 may undertake this course.",Community Development Practicum II,,Chua Thian Poh Comm Leader Center,NUS,"[0, 0, 0, 16, 2]",Completed Satisfactory/Unsatisfactory,4,CLC3305,"[{'semester': 2, 'timetable': [], 'covidZones': []}]",,,If undertaking an Undergraduate Degree  THEN ( must have completed  1 of  CLC1101/CLC2101 at a grade of at least D  AND  must have completed  CLC2201 at a grade of at least D  AND  must have completed  1 of  CLC2202/SC2101/SW3101 at a grade of at least D),"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CLC1101:D , CLC2101:D AND COURSES (1) CLC2201:D AND COURSES (1) CLC2202:D , SC2101:D , SW3101:D )",,,"{'and': [{'or': ['CLC1101:D', 'CLC2101:D']}, 'CLC2201:D', {'or': ['CLC2202:D', 'SC2101:D', 'SW3101:D']}]}",,,,,CLC3305
2023/2024,"Generative Artificial Intelligence (GAI) tools are set to make a profound impact across many fields including business, science, music, art and literature. They are expected to disrupt the way students learn, presenting boundless opportunities and associated challenges. This course aims to prepare students to learn effectively with GAI tools and navigate the perils and pitfalls. A curated set of tools will be introduced to students with insightful discussion on how to work with them inside and outside the classroom. Students will also critique various societal issues associated with GAI tools.",Learning with Generative AI Tools,,SoC Dean's Office,Computing,"[1, 0, 0, 4, 5]",Completed Satisfactory/Unsatisfactory,2,CP1008,"[{'semester': 2, 'timetable': [], 'covidZones': []}]",,,,,"{'mpes1': True, 'mpes2': True}",,,,,,,CP1008
2023/2024,"Orbital provides a platform for students to gain hands-on industrial experience for computing technologies related to students’ own interests. Done in pairs of two, Orbital students propose, design, execute, implement and market their project to peers and faculty. Peer assessment and critique of others’ projects are key components of the courses’ deliverables.",Independent Software Development Project (Orbital),,SoC Dean's Office,Computing,"[2, 0, 0, 8, 0]",Completed Satisfactory/Unsatisfactory,4,CP2106,"[{'semester': 1, 'timetable': [], 'covidZones': []}]",If undertaking an Undergraduate Degree THEN ( must not have completed 1 of CS2103/CS2103T/CS2113/CS2113T at a grade of at least D),"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D)",If undertaking an Undergraduate Degree THEN ( must have completed 1 of CS1010/CS1010A/CS1010E/CS1010J/CS1010S/CS1010X/CS1010XCP/CS1101S at a grade of at least D),"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010S:D, CS1010J:D, CS1010X:D, CS1010E:D, CS1101S:D, CS1010XCP:D, CS1010A:D)",,,"{'or': ['CS1010:D', 'CS1010S:D', 'CS1010J:D', 'CS1010X:D', 'CS1010E:D', 'CS1101S:D', 'CS1010XCP:D', 'CS1010A:D']}",,,,,CP2106
2023/2024,"Innovators practice the art of persuading people to accept changes in how they live—in work, leisure and social interaction. This course’s object is to introduce students to digital innovation, and to encourage them to embark on a personal journey of creativity and challenge. Inspirational innovators will be invited to present topics related to digital innovation, such as successful innovative projects of start-up teams and advanced development teams, innovative approaches such as Design Thinking, and opportunities for innovation, the vibrant intersection of energising technology trends and new markets. This course will be graded as “Completed Satisfactory” or “Completed Unsatisfactory” (CS/CU).",Journey of the Innovator,,SoC Dean's Office,Computing,"[1, 0, 0, 3, 1]",Completed Satisfactory/Unsatisfactory,2,CP2201,"[{'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1830', 'endTime': '2130', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'LT11', 'day': 'Monday', 'lessonType': 'Lecture', 'size': 250, 'covidZone': 'B'}], 'covidZones': ['B']}]",,,,,{'mpes2': True},,,,,,,CP2201
2023/2024,,Independent Work,,SoC Dean's Office,Computing,"[0, 0, 0, 5, 0]",Completed Satisfactory/Unsatisfactory,2,CP3108A,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}]",,,,,{'ism': True},,,,,,,CP3108
2023/2024,"The information technology (IT) industry is in an everchanging state of evolvement and innovation. This course aims to acquaint students with the latest Information Technology (IT) innovation, practices, and developments. Prominent leaders and practitioners in the IT industry will be invited to impart their knowledge and insights into the latest IT trends and developments from various industry arenas such as the finance, healthcare, consulting, manufacturing, and entertainment industries. Students' performance will be graded as ""Completed Satisfactory/Completed Unsatisfactory (CS/CU)"" at the end of the course based on the coursework.",Industry Seminar,,SoC Dean's Office,Computing,"[2, 0, 0, 2, 1]",Completed Satisfactory/Unsatisfactory,2,CP3201,"[{'semester': 1, 'timetable': [{'classNo': '1', 'startTime': '1400', 'endTime': '1600', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'LT19', 'day': 'Monday', 'lessonType': 'Lecture', 'size': 150, 'covidZone': 'B'}], 'covidZones': ['B']}, {'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1400', 'endTime': '1600', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'LT19', 'day': 'Monday', 'lessonType': 'Lecture', 'size': 150, 'covidZone': 'B'}], 'covidZones': ['B']}]",,,,,"{'mpes1': True, 'mpes2': True}",,,,,,,CP3201
2023/2024,This course is for students admitted into the Co-operative(Co-Op) education programme requiring a compulsory 10- week industry immersion during their first year of study. The course enables Co-Op students to learn about the latest developments in the industry of their Co-Op companies and be exposed to the organization’s network with practicing engineers.,Engineering Co-Op Immersion Programme I,,CDE Dean's Office,College of Design and Engineering,"[0, 0, 0, 0, 2]",Completed Satisfactory/Unsatisfactory,4,EG1611,"[{'semester': 3, 'timetable': [], 'covidZones': []}, {'semester': 4, 'timetable': [], 'covidZones': []}]",,,,,,,,,,,,EG1611
2023/2024,"Recognizing that each professional leadership journey to comprises an individual’s internalised learning and experiences, this course provides a platform for students to explore different means and take active steps towards honing their professional and leadership skills based on their needs and experiences. Students will meet with mentors to discuss talks, lectures, workshops and other initiatives that can help them in their professional journey and be guided in reflecting on this journey for deeper impact. Despite the individual nature of each leadership journey, ethical values are recognized as indispensable for every engineering professional and will be part of this course.",Pathways to Engineering Leadership,,CDE Dean's Office,College of Design and Engineering,"[0, 0, 0, 4, 1]",Completed Satisfactory/Unsatisfactory,2,EG2101,"[{'semester': 1, 'timetable': [{'classNo': '1', 'startTime': '1800', 'endTime': '1900', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': '', 'day': 'Saturday', 'lessonType': 'Lecture', 'size': 60, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}, {'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1800', 'endTime': '1900', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': '', 'day': 'Saturday', 'lessonType': 'Lecture', 'size': 60, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}]",,,,,,,,,,,,EG2101
2023/2024,,Undergraduate Research Opportunities Programme,,CDE Dean's Office,College of Design and Engineering,,Completed Satisfactory/Unsatisfactory,4,EG2605,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}, {'semester': 3, 'timetable': [], 'covidZones': []}, {'semester': 4, 'timetable': [], 'covidZones': []}]",,,,,"{'mpes1': True, 'mpes2': True}",,,,,,,EG2605
2023/2024,,Independent Work,,CDE Dean's Office,College of Design and Engineering,,Completed Satisfactory/Unsatisfactory,2,EG2606A,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}, {'semester': 3, 'timetable': [], 'covidZones': []}, {'semester': 4, 'timetable': [], 'covidZones': []}]",,,,,"{'mpes1': True, 'mpes2': True}",,,,,,,EG2606
2023/2024,This course is for students admitted into the Co-operative (Co-Op) education programme requiring a compulsory 10-week industry immersion during their second year of study. The course integrates knowledge and theory learned in the classroom with practical application and skill development in a professional setting. Students will have to leverage on their learnings from the first immersion (EG1611) to participate in projects or tasks that help to develop or enhance their skills whilst contributing to their Co-Op companies.,Engineering Co-Op Immersion Programme II,,CDE Dean's Office,College of Design and Engineering,"[0, 0, 0, 8, 2]",Completed Satisfactory/Unsatisfactory,4,EG2620,"[{'semester': 3, 'timetable': [], 'covidZones': []}, {'semester': 4, 'timetable': [], 'covidZones': []}]",,,,,,,,,,,,EG2620
2023/2024,This internship module is for students who want to extend their internship period by another 4 weeks after completing EG3611a.,Industrial Attachment,,CDE Dean's Office,College of Design and Engineering,"[0, 0, 0, 36, 4]",Completed Satisfactory/Unsatisfactory,2,EG3611B,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 3, 'timetable': [], 'covidZones': []}]",,,,,,,,,,,,EG3611
2023/2024,"Self-actualization is a lifelong enterprise. Who do I aspire to be? What does it take to create a meaningful, productive life aligned with my strengths, passions and core values? This holistic development course coaches NOC students to build self-awareness, clarify personal and professional goals and set the intention to drive results. They will learn problem-solving and relational skills for navigating challenges and opportunities, cultivate self-leadership, hone their emotional and learning agility and strengthen their sense of purpose. Through critical reflection and focused action plans, students will develop the courage to pivot and iterate while inspired and supported by their peers. This course is only open to students on the NUS Overseas Colleges Programme (NOC)",Discovering Resilience and Purpose,,NUS Enterprise Academy,NUS,"[3, 0, 0, 3.5, 3.5]",Completed Satisfactory/Unsatisfactory,2,ETP2271,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}, {'semester': 3, 'timetable': [], 'covidZones': []}, {'semester': 4, 'timetable': [], 'covidZones': []}]",,,,,,,,,,,,ETP2271
2023/2024,"This course will introduce FASS students to the latest industry trends and emerging growth sectors so as to help them gain deeper knowledge and familiarise with evolving work environments. Business leaders and executives will share the industry challenges, innovations and best practices. The seminars will also expose FASS students to a wider repertoire of jobs/companies/industries including alternative options beyond the usual and traditional employers to enhance students’ employability. Lectures comprise a CEO leadership dialogue, a panel discussion on organisational effectiveness, Roundtable and workshop on global mobility. Students get to meet with industry mentors at company visits and networking sessions.",FASS Industry Seminar,,FASS DO/Office of Programmes,Arts and Social Science,"[2, 0, 0, 2, 1]",Completed Satisfactory/Unsatisfactory,2,FAS3550,"[{'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1600', 'endTime': '1800', 'weeks': [1, 2, 3, 4, 5, 6], 'venue': 'AS8-0401', 'day': 'Tuesday', 'lessonType': 'Lecture', 'size': 80, 'covidZone': 'B'}], 'covidZones': ['B']}]",,,if undertaking an Undergraduate Degree then ( the student has achieved at least 40 Units prior to enrolment and must have completed CFG1002 at a grade of at least D ),PROGRAM_TYPES IF_IN Undergraduate Degree THEN (UNITS (40) AND COURSES (1) CFG1002:D),{'mpes2': True},,CFG1002:D,,,Undergraduates admitted to the Faculty of Arts and Social Sciences,,FAS3550
2023/2024,"The course complements the FASS Mentorship Programme, where we connect undergraduates with experienced FASS alumni, who will provide insight and guidance on career and professional development. Students will work on two reports to help them reflect upon their learning journey and career possibilities in a chosen industry sector. Through the process, students will gain a realistic overview of the workplace, sharpen soft skills, apply gained knowledge and expand their network, all fundamental to a job search.",FASS Capstone Career Preparation,,FASS DO/Office of Programmes,Arts and Social Science,"[0, 0, 0, 0, 5]",Completed Satisfactory/Unsatisfactory,2,FAS3551,"[{'semester': 2, 'timetable': [], 'covidZones': []}]",,,if undertaking an Undergraduate Degree then ( the student has achieved at least 80 Units prior to enrolment ),PROGRAM_TYPES IF_IN Undergraduate Degree THEN (UNITS (80)),{'mpes2': True},,,,,Undergraduates admitted to the Faculty of Arts and Social Sciences,,FAS3551
2023/2024,"This module taught in French is specially designed for FDDP students so as to prepare them to attain a basic knowledge on abstract mathematical analysis and algebra, as well as a maturity in the basic skill of abstract mathematical reasoning. Topics covered direct products, direct sums, quotients, finite groups, topology, compactness, connectivity, completion, norm linear spaces.",Special Mathematics Class 3,,FoS Dean's Office,Science,"[3, 1, 0, 0, 6]",Completed Satisfactory/Unsatisfactory,4,FDP2012,"[{'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1000', 'endTime': '1200', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'S16-0309', 'day': 'Saturday', 'lessonType': 'Tutorial', 'size': 12, 'covidZone': 'B'}, {'classNo': '1', 'startTime': '0800', 'endTime': '1000', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'S16-0309', 'day': 'Saturday', 'lessonType': 'Lecture', 'size': 12, 'covidZone': 'B'}], 'covidZones': ['B']}]","if undertaking an Undergraduate Degree
then
(
	must not have completed ""FDP2001"" at a grade of at least D
)","PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) FDP2001:D
)","if undertaking an Undergraduate Degree
then
(
	must have completed FDP2011 at a grade of at least D
)","PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) FDP2011:D
)",,,FDP2011:D,,,,,FDP2012
2023/2024,"Topics covered include quasi-permanent regime, mechanics, thermodynamics and optics.",Special Physics Class 3,,FoS Dean's Office,Science,"[3, 1, 0, 0, 6]",Completed Satisfactory/Unsatisfactory,4,FDP2022,"[{'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1500', 'endTime': '1700', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'S16-0309', 'day': 'Saturday', 'lessonType': 'Tutorial', 'size': 12, 'covidZone': 'B'}, {'classNo': '1', 'startTime': '1300', 'endTime': '1500', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'S16-0309', 'day': 'Saturday', 'lessonType': 'Lecture', 'size': 12, 'covidZone': 'B'}], 'covidZones': ['B']}]","if undertaking an Undergraduate Degree
then
(
	must not have completed ""FDP2002"" at a grade of at least D
)","PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) FDP2002:D
)","if undertaking an Undergraduate Degree
then
(
	must have completed FDP2021 at a grade of at least D
)","PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) FDP2021:D
)",,,FDP2021:D,,,,,FDP2022
